CLUSTER,CLUSTER_LATITUDE,CLUSTER_LONGITUDE,NUMBER_OF_CUSTOMERS_IN_A_CLUSTER,ITERATION,Key,NUMBER_OF_CLUSTERS
0,50.17480564814815,2.8630845656851864,54,16,0,3
1,49.519915357142864,4.523122119685714,70,16,0,3
2,50.894032109375,4.738000439875,64,16,0,3
0,50.17480564814815,2.8630845656851864,54,17,0,3
1,49.528496408450714,4.539235587450704,71,17,0,3
2,50.90617277777779,4.723251584460319,63,17,0,3
0,50.17480564814815,2.8630845656851864,54,18,0,3
1,49.528496408450714,4.539235587450704,71,18,0,3
2,50.90617277777779,4.723251584460319,63,18,0,3
0,50.14527585106383,3.984256636617023,47,0,0,4
1,50.314350851063836,4.291846233553192,47,0,0,4
2,50.1068194680851,4.191733545680851,47,0,0,4
3,50.136780106382986,4.009975138978723,47,0,0,4
0,50.31157460526316,2.7874412482105257,38,1,0,4
1,50.92270928571429,4.74606961625,56,1,0,4
2,49.55787446428572,4.781553358392856,56,1,0,4
3,49.84997657894737,3.5523023438157897,38,1,0,4
0,50.54333513157895,2.912157455736843,38,2,0,4
1,50.91913026785715,4.761928109696429,56,2,0,4
2,49.53442324074074,4.8427619490925915,54,2,0,4
3,49.65186875,3.3904510091250004,40,2,0,4
0,50.634575263157906,3.0361460130789477,38,3,0,4
1,50.898981607142865,4.827789749678572,56,3,0,4
2,49.54484688679246,4.822363829622641,53,3,0,4
3,49.578485853658535,3.247367942146342,41,3,0,4
0,50.68073381578947,3.032549673447369,38,4,0,4
1,50.881315000000015,4.856759411872727,55,4,0,4
2,49.54467046296296,4.808042942851851,54,4,0,4
3,49.59266390243902,3.2308333882682927,41,4,0,4
0,50.68699368421053,2.992874904526316,38,5,0,4
1,50.87699000000001,4.884171070400001,55,5,0,4
2,49.555244090909106,4.794495417854545,55,5,0,4
3,49.579325,3.2100309962750004,40,5,0,4
0,50.68699368421053,2.992874904526316,38,6,0,4
1,50.87699000000001,4.884171070400001,55,6,0,4
2,49.555244090909106,4.794495417854545,55,6,0,4
3,49.579325,3.2100309962750004,40,6,0,4
0,50.15506144736843,4.331529179789474,38,0,0,5
1,50.27148447368421,4.19590357013158,38,0,0,5
2,50.074786447368425,3.895695262342105,38,0,0,5
3,50.173544324324325,4.084891561378378,37,0,0,5
4,50.204861216216216,4.087494347027027,37,0,0,5
0,49.81815333333333,5.055051779466666,45,1,0,5
1,51.05846802631579,4.713018508526315,38,1,0,5
2,49.649564444444444,3.311280153822223,45,1,0,5
3,49.734006666666666,3.9968994521,30,1,0,5
4,50.825411666666675,3.2990173064000006,30,1,0,5
0,49.76082499999999,5.082917095222221,45,2,0,5
1,50.986276249999996,4.880559474136363,44,2,0,5
2,49.60506621212121,2.9778380440909085,33,2,0,5
3,49.55529083333335,4.1206476589333345,30,2,0,5
4,50.74423458333334,3.0303658807500002,36,2,0,5
0,49.79273220930233,5.078629165790696,43,3,0,5
1,50.96633666666666,4.888374194133333,45,3,0,5
2,49.61962833333334,2.9419063986666663,30,3,0,5
3,49.48168212121213,4.126308619484849,33,3,0,5
4,50.72958486486487,3.0182128056486492,37,3,0,5
0,49.849398750000006,5.055687700475,40,4,0,5
1,50.96687111111111,4.8820526342,45,4,0,5
2,49.69067833333334,2.9718195383999992,30,4,0,5
3,49.40685648648649,4.169986720540541,37,4,0,5
4,50.74423458333334,3.0303658807500002,36,4,0,5
0,49.92086451219513,5.018128080292683,41,5,0,5
1,50.96687111111111,4.8820526342,45,5,0,5
2,49.6724385483871,2.9470367983548384,31,5,0,5
3,49.318541428571436,4.244863165428572,35,5,0,5
4,50.74423458333334,3.0303658807500002,36,5,0,5
0,49.972484473684204,4.984799414394737,38,6,0,5
1,50.974909444444435,4.894268794644445,45,6,0,5
2,49.66115308823529,3.0055835519411755,34,6,0,5
3,49.28441857142858,4.3859902027999995,35,6,0,5
4,50.74423458333334,3.0303658807500002,36,6,0,5
0,50.09133283783783,5.009504188540541,37,7,0,5
1,51.02472304878049,4.86715254502439,41,7,0,5
2,49.66834569444444,3.0532556507222224,36,7,0,5
3,49.2843627631579,4.487943647947368,38,7,0,5
4,50.74423458333334,3.0303658807500002,36,7,0,5
0,50.13749708333333,5.015711269861111,36,8,0,5
1,51.03871512195122,4.8234226749756095,41,8,0,5
2,49.64184708333333,3.0803660690555557,36,8,0,5
3,49.29648602564104,4.549100673923077,39,8,0,5
4,50.71791583333333,2.9950861921944445,36,8,0,5
0,50.18047071428571,5.016920073914286,35,9,0,5
1,51.05352178571428,4.766405253833333,42,9,0,5
2,49.640780526315794,3.1227461925526314,38,9,0,5
3,49.29586230769231,4.610792576717949,39,9,0,5
4,50.694086911764714,2.946783941764706,34,9,0,5
0,50.20478357142857,5.045178786171428,35,10,0,5
1,51.060633095238096,4.729602996071428,42,10,0,5
2,49.637619375,3.16197942225,40,10,0,5
3,49.29480157894737,4.64187643663158,38,10,0,5
4,50.68576924242426,2.9200629770909097,33,10,0,5
